time,real,nominal
1890,100,3.65717474868005
1891,88.0117910565639,3.29921310933127
1892,95.4217361825033,3.35887338255607
1893,92.297385480982,3.50205803829558
1894,123.980482779444,4.08076268857611
1895,117.455091566357,3.70490296725989
1896,100.302990185341,3.20972269949408
1897,106.515702805949,3.31114516397623
1898,110.18413977609,3.5259221475855
1899,103.853113341848,3.37080543720103
1900,101.574294754198,3.85405365032188
1901,87.3260955025929,3.233586808784
1902,100.473644501444,3.81229145906453
1903,93.0748923847527,3.87195173228932
1904,101.854358966302,4.05093255196371
1905,87.2485475278975,3.54978625687542
1906,103.525167318816,4.21201528967067
1907,109.316520664584,4.64753528421168
1908,100.819182352051,4.19411720770323
1909,95.3804137858177,4.09866077054355
1910,93.1106367072284,4.42679227327994
1911,97.5433360448552,4.32536980879778
1912,102.3651618353,4.49241857382721
1913,95.4085607992309,4.49241857382721
1914,96.9771636978956,4.65946733885664
1915,88.1487637978615,4.27764159021794
1916,93.7248516483404,4.68333144814656
1917,85.0090374186222,4.77878788530624
1918,75.5666210632953,5.0830552787527
1919,70.513795355549,5.59016760116348
1920,66.0741490700369,6.12711006018665
1921,65.6143084794711,5.98989143176962
1922,74.7961971410176,6.07341581428433
1923,76.3500778153208,6.16290622412153
1924,74.2869778831955,6.17483827876649
1925,78.1628202075362,6.49700375418039
1926,72.4906015524438,6.23449855199128
1927,71.3803012109625,6.00182348641457
1928,73.2821298731813,6.09131389625177
1929,72.6143298798928,5.9660273224797
1930,69.4919136950574,5.70948814761307
1931,68.6452032070239,5.24413801645965
1932,68.3371935122121,4.69526350279152
1933,72.8659469764533,4.51628268311713
1934,73.2794111285654,4.64753528421168
1935,78.0699990286196,5.10140585243566
1936,79.4148950493491,5.26559977541079
1937,79.7176178068119,5.40057769785654
1938,78.4646529365338,5.35339385700159
1939,78.5496849349292,5.28371369573901
1940,81.7308063280311,5.45842537890472
1941,73.815883429283,5.00075673061193
1942,68.5028268287837,5.16743401363206
1943,70.922974200817,5.75891194434943
1944,80.3089957863726,6.71398300165498
1945,87.7500461209375,7.50471405598275
1946,106.505895508631,9.31347664875688
1947,109.329670714184,11.2938832446411
1948,101.222579508245,11.5263695688537
1949,100.046607626376,11.5366682090403
1950,105.894839342508,11.9566482166502
1951,103.898668724163,12.6797442297524
1952,103.974327479973,13.2385002398769
1953.125,114.713309289202,14.6609542656513
1953.375,115.068596348557,14.7063617895093
1953.625,114.650670059521,14.7631211943318
1953.875,113.845158780278,14.768797134814
1954.125,114.31229057769,14.7744730752963
1954.375,114.694749517445,14.768797134814
1954.625,115.014940077976,14.8652881230123
1954.875,115.620418133842,14.8879918849413
1955.125,115.920719759172,14.8709640634945
1955.375,115.124317867697,14.768797134814
1955.625,115.973053797232,14.9333994087993
1955.875,115.54192720319,14.9333994087993
1956.125,115.047385180834,14.814204658672
1956.375,114.180543796387,14.7574452538495
1956.625,114.295782161055,15.0469182184443
1956.875,113.794246264298,15.0355663374798
1957.125,114.451993082503,15.177464849536
1957.375,114.449231676536,15.3420671235213
1957.625,112.831574691709,15.3420671235213
1957.875,113.666436509628,15.4555859331662
1958.125,112.84587826831,15.5066693975065
1958.375,112.532873266198,15.6258641476337
1958.625,111.615267388017,15.5520769213645
1958.875,111.797097124246,15.5236972189532
1959.125,111.248647896597,15.5009934570242
1959.375,111.533796389924,15.5407250404
1959.625,110.567583833768,15.5123453379887
1959.875,110.458323792643,15.6031603857047
1960.125,110.915951482881,15.6145122666692
1960.375,109.923708529297,15.5804566237757
1960.625,109.791803325959,15.6145122666692
1960.875,109.649574514555,15.699651373903
1961.125,109.451364871542,15.6712716714917
1961.375,109.253155228529,15.6428919690805
1961.625,108.997332649281,15.7110032548675
1961.875,109.509242087302,15.7847904811367
1962.125,109.82426327993,15.8301980049947
1962.375,109.449002107586,15.881281469335
1962.625,109.321710907037,15.9153371122285
1962.875,108.728942883194,15.881281469335
1963.125,109.078678582246,15.9323649336752
1963.375,109.41822161976,16.0345318623557
1963.625,108.85931847857,16.0572356242847
1963.875,109.119556780836,16.1480506720007
1964.125,109.53103360184,16.2615694816457
1964.375,109.110495601973,16.199134136341
1964.625,109.054563187492,16.2956251245392
1964.875,109.85224546786,16.4148198746665
1965.125,110.181691171565,16.516986803347
1965.375,108.953189552225,16.4375236365955
1965.625,108.45053162347,16.4659033390067
1965.875,109.263659714342,16.6418574939565
1966.125,109.514442908878,16.7326725416725
1966.375,108.075188569932,16.7724041250482
1966.625,107.519156283873,16.789431946495
1966.875,106.678719220866,16.8632191727642
1967.125,106.714625891758,16.8688951132464
1967.375,106.498101072722,16.9370063990334
1967.625,106.319652511943,17.0618770896429
1967.875,106.38976108597,17.2264793636282
1968.125,105.765363023448,17.3286462923087
1968.375,104.9460135906,17.3456741137554
1968.625,104.491807483085,17.5216282687052
1968.875,105.215293515124,17.8451568761934
1969.125,106.452386160523,18.2084170670574
1969.375,105.668782279241,18.4297787458651
1969.625,106.255449823228,18.7873629962469
1969.875,106.953073140552,19.1676510085576
1970.125,107.851005531663,19.5876706042441
1970.375,107.761794984688,19.9339029736614
1970.625,108.439987462324,20.3198669264543
1970.875,109.557814517383,20.7398865221408
1971.125,109.169090435211,20.8761090937148
1971.375,109.530747586424,21.1031467130048
1971.625,109.425358987176,21.3982956180818
1971.875,110.190022910368,21.653712939783
1972.125,110.602331134349,21.8410189756973
1972.375,110.190997288817,21.971565606789
1972.625,111.056248009691,22.357529559582
1972.875,110.089852955629,22.3745573810288
1973.125,109.175918607074,22.3461776786175
1973.375,106.969925615992,22.4086130239223
